  wn	             sow(s)	          rcvr_x(m)	          rcvr_y(m)	          rcvr_z(m)	       rcvr_vx(m/s)	       rcvr_vy(m/s)	       rcvr_vz(m/s)	     rcvr_ax(m/s^2)	     rcvr_ay(m/s^2)	     rcvr_az(m/s^2)	     jerk_ax(m/s^3)	     jerk_ay(m/s^3)	     jerk_az(m/s^3)	         longitude(rad)	          latitude(rad)	        altitude(m)	         pitch(deg)	          roll(deg)	           yaw(deg)	        distacne(m)	     elevation(deg)	       azimuth(deg)	
 756	         487977.600	-2178383.4434192376	 4381921.4300382147	 4077089.1040962236	     -11.8872578949	      -6.2447689102	       0.4068439755	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214508927301	       0.69794113693456	      50.2701889770	       0.1316452026	       0.0000000000	      87.8530960083	     201.2161664095	       0.1342926025	      87.8467636108	
 756	         487977.700	-2178384.6361830882	 4381920.8034399068	 4077089.1449189424	     -11.9769852821	      -6.2918969418	       0.4099032881	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214536453428	       0.69794114489374	      50.2733442727	       0.1316528320	       0.0000000000	      87.8531112671	     202.5641193893	       0.1343078613	      87.8467712402	
 756	         487977.800	-2178385.8379201628	 4381920.1721278429	 4077089.1860485389	     -12.0667306883	      -6.3390606488	       0.4129981310	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214564186635	       0.69794115291273	      50.2765235631	       0.1316604614	       0.0000000000	      87.8531188965	     203.9222132248	       0.1343154907	      87.8467864990	
 756	         487977.900	-2178387.0486307004	 4381919.5361016663	 4077089.2274853680	     -12.1564582206	      -6.3861888254	       0.4160574436	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214592126929	       0.69794116099156	      50.2797269188	       0.1316757202	       0.0000000000	      87.8531341553	     205.2904479154	       0.1343231201	      87.8468017578	
 756	         487978.000	-2178388.2683147020	 4381918.8953614952	 4077089.2692291932	     -12.2461915900	      -6.4333286762	       0.4191285029	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214620274309	       0.69794116913022	      50.2829542784	       0.1316909790	       0.0000000000	      87.8531417847	     206.6688234637	       0.1343383789	      87.8468170166	
 756	         487978.100	-2178389.4969718680	 4381918.2499073306	 4077089.3112802515	     -12.3359251044	      -6.4804566353	       0.4221997073	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214648628768	       0.69794117732874	      50.2862056987	       0.1317062378	       0.0000000000	      87.8531494141	     208.0573398664	       0.1343460083	      87.8468246460	
 756	         487978.200	-2178390.7346021398	 4381917.5997391734	 4077089.3536385451	     -12.4256584737	      -6.5276085955	       0.4252708391	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214677190308	       0.69794118558712	      50.2894811658	       0.1317138672	       0.0000000000	      87.8531570435	     209.4559971260	       0.1343612671	      87.8468399048	
 756	         487978.300	-2178391.9812060543	 4381916.9448569017	 4077089.3963039517	     -12.5153919156	      -6.5747485189	       0.4283420435	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214705958937	       0.69794119390533	      50.2927807113	       0.1317214966	       0.0000000000	      87.8531723022	     210.8647952416	       0.1343765259	      87.8468551636	
 756	         487978.400	-2178393.2367832526	 4381916.2852607565	 4077089.4392763549	     -12.6051253575	      -6.6218884423	       0.4314131754	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214734934648	       0.69794120228336	      50.2961043054	       0.1317367554	       0.0000000000	      87.8531799316	     212.2837342124	       0.1343841553	      87.8468704224	
 756	         487978.500	-2178394.5013337950	 4381915.6209507352	 4077089.4825557536	     -12.6948528172	      -6.6690283656	       0.4344842347	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214764117441	       0.69794121072119	      50.2994519770	       0.1317520142	       0.0000000000	      87.8531951904	     213.7128140396	       0.1343917847	      87.8468856812	
 756	         487978.600	-2178395.7748576216	 4381914.9519266030	 4077089.5261423853	     -12.7845922775	      -6.7161682890	       0.4375554391	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214793507318	       0.69794121921889	      50.3028237019	       0.1317672729	       0.0000000000	      87.8532104492	     215.1520347224	       0.1344070435	      87.8468933105	
 756	         487978.700	-2178397.0573549122	 4381914.2781883553	 4077089.5700362511	     -12.8743197010	      -6.7632963206	       0.4406146791	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214823104282	       0.69794122777644	      50.3062195452	       0.1317749023	       0.0000000000	      87.8532104492	     216.6013962622	       0.1344146729	      87.8469085693	
 756	         487978.800	-2178398.3488254868	 4381913.5997362351	 4077089.6142371120	     -12.9640591613	      -6.8104482083	       0.4436977753	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214852908327	       0.69794123639379	      50.3096394688	       0.1317901611	       0.0000000000	      87.8532257080	     218.0608986571	       0.1344299316	      87.8469238281	
 756	         487978.900	-2178399.6492694053	 4381912.9165702397	 4077089.6587449685	     -13.0537925669	      -6.8575882042	       0.4467689071	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214882919455	       0.69794124507095	      50.3130834941	       0.1318054199	       0.0000000000	      87.8532333374	     219.5305419085	       0.1344451904	      87.8469390869	
 756	         487979.000	-2178400.9586868468	 4381912.2286901297	 4077089.7035599407	     -13.1435081711	      -6.9047280550	       0.4498519308	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214913137671	       0.69794125380795	      50.3165516071	       0.1318206787	       0.0000000000	      87.8532485962	     221.0103260155	       0.1344528198	      87.8469467163	
 756	         487979.100	-2178402.2770772153	 4381911.5360960281	 4077089.7486822652	     -13.2332594507	      -6.9518679784	       0.4529112433	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214943562963	       0.69794126260482	      50.3200438432	       0.1318359375	       0.0000000000	      87.8532638550	     222.5002509794	       0.1344680786	      87.8469696045	
 756	         487979.200	-2178403.6044411655	 4381910.8387879319	 4077089.7941115852	     -13.3229929289	      -6.9990079018	       0.4559823027	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03214974195343	       0.69794127146149	      50.3235602044	       0.1318435669	       0.0000000000	      87.8532714844	     224.0003167980	       0.1344757080	      87.8469848633	
 756	         487979.300	-2178404.9407785204	 4381910.1367657222	 4077089.8398481384	     -13.4127263345	      -7.0461478251	       0.4590535070	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       0.0000000000	       2.03215005034809	       0.69794128037801	      50.3271007072	       0.1318588257	       0.0000000000	      87.8532791138	     225.5105234740	       0.1344909668	      87.8470001221	
